Price,Close,High,Low,Open,Volume
Ticker,KO,KO,KO,KO,KO
Date,,,,,
2009-04-24,13.053459167480469,13.144976524513853,12.986345895926366,13.102268502145362,29316200
2009-04-27,12.885679244995117,13.108371943301657,12.836869902403361,12.940588737167635,23763600
2009-04-28,12.897884368896484,12.980250376094435,12.812468286042394,12.846024936794173,18167600
2009-04-29,13.029057502746582,13.144980140857301,12.92228741745161,12.92533749258576,20426400
2009-04-30,13.13277816772461,13.443938213721918,13.056513484795074,13.157183424841282,35959200
2009-05-01,12.955842018127441,13.181584781046794,12.867374725010128,13.160230767357302,21220200
2009-05-04,13.169378280639648,13.190733451752996,12.882623635666846,12.995494983920187,26789000
2009-05-05,13.160228729248047,13.346314674328838,13.123622020550506,13.215139374147503,22393600
2009-05-06,13.099220275878906,13.297508898129795,13.041259541296409,13.270053568336696,19488600
2009-05-07,13.056507110595703,13.215137713290327,12.986343776199142,13.215137713290327,27057600
2009-05-08,13.093118667602539,13.169383341566785,12.96804464884944,13.10227121979872,24158600
2009-05-11,13.041263580322266,13.175489032155989,12.977201512199827,13.035162264733419,18437800
2009-05-12,13.544601440429688,13.633067544362907,13.074810947144298,13.105316339713529,37052200
2009-05-13,13.309707641601562,13.54155167598338,13.251745760226413,13.431730388858107,23717800
2009-05-14,13.697135925292969,13.77950074920777,13.395127304014586,13.398177378945789,34590000
2009-05-15,13.715442657470703,13.75205054944135,13.614773863818693,13.675785853396198,34102200
2009-05-18,14.05405044555664,14.06930314372341,13.630019152506584,13.770345837570897,28462000
2009-05-19,14.227931022644043,14.316398284149678,13.977783097060287,14.07540174296097,31889400
2009-05-20,14.33775806427002,14.426225361402954,14.19743134973907,14.27979733358285,33379200
2009-05-21,14.240133285522461,14.282841296564708,14.154717263437966,14.227930664165813,28366400
2009-05-22,14.42927360534668,14.554347602638087,14.227934947177427,14.23708633409673,24576400
2009-05-26,14.401819229125977,14.484185207941946,14.301150475266311,14.337757189060149,28784800
2009-05-27,14.224888801574707,14.395720944351481,14.197433469527484,14.377418165457795,19064800
2009-05-28,14.307249069213867,14.398766418159601,14.142517142887806,14.230984417808049,18940200
2009-05-29,14.99668025970459,14.996680259704592,14.322501054111672,14.340803824766395,45436800
2009-06-01,14.953973770141602,15.085149070523165,14.86245641640491,15.024137113463274,42668400
