Price,Close,High,Low,Open,Volume
Ticker,CRM,CRM,CRM,CRM,CRM
Date,,,,,
2009-02-27,6.950198173522949,7.2778502973807395,6.84842745242908,6.937787294733815,15602000
2009-03-02,6.781407833099365,6.940269360281701,6.7094238811366305,6.8310522970661935,9213600
2009-03-03,6.989914894104004,7.123954683263351,6.8012665649786825,6.838499681930245,10670800
2009-03-04,7.451606273651123,7.598056932260025,7.1065782181166375,7.131400451912927,12776800
2009-03-05,7.478909492492676,7.687415476225502,7.290261672396004,7.317565700506358,11576800
2009-03-06,7.464016914367676,7.62039665085604,7.168633335902211,7.498767756500771,11433600
2009-03-09,7.667558193206787,7.823937926033029,7.372175095103361,7.384585974590337,12861200
2009-03-10,8.064713478088379,8.087053441341954,7.712238607519676,7.794151648301209,17008000
2009-03-11,8.273219108581543,8.404776137909947,8.101945749157624,8.141661132363714,15950000
2009-03-12,8.404776573181152,8.432081078091167,7.97038913260413,8.372507526752091,11796400
2009-03-13,8.139178276062012,8.409739584849488,7.962941345198516,8.404775044233563,13770400
2009-03-16,8.010104179382324,8.228539262542508,7.885993487319176,8.161519375201674,10555600
2009-03-17,8.429598808288574,8.429598808288574,7.9852822596681765,8.111875708304595,7601200
2009-03-18,8.682784080505371,8.792001150872112,8.303005658037666,8.330310162351715,12249600
2009-03-19,8.821788787841797,8.94341674364694,8.710088968405802,8.809377907213241,9396800
2009-03-20,8.628174781799316,8.935969710687683,8.536333136012955,8.88632524513931,16111600
2009-03-23,9.191637992858887,9.191637992858887,8.687748861874784,8.903701211312331,9961600
2009-03-24,8.667890548706055,9.07745622400541,8.566119815925353,9.0700098852547,12135200
2009-03-25,8.46931266784668,8.46931266784668,7.9455654387189805,8.300522064709146,14339600
2009-03-26,8.863985061645508,8.906183187719197,8.501582081903933,8.55122654621264,9382800
2009-03-27,8.45938491821289,8.749803472583208,8.35513144828473,8.734909849196498,7468800
2009-03-30,8.084569931030273,8.372506681851856,8.012585506602534,8.342720382632901,6936000
2009-03-31,8.124284744262695,8.320379839763385,8.010103149498743,8.104427528468202,8236000
2009-04-01,8.114356994628906,8.166484206784233,7.4466417884757865,7.759400800405137,13760000
2009-04-02,8.476760864257812,8.677819584551827,8.235985812470258,8.235985812470258,9072000
2009-04-03,9.251211166381836,9.253692963609552,8.471796166136064,8.471796166136064,14236000
2009-04-06,9.055115699768066,9.20156634975721,8.85653878797501,9.094831082126678,6131600
2009-04-07,9.089865684509277,9.313265281033285,8.99305950831198,9.114688387950453,8107200
2009-04-08,9.278514862060547,9.395178259389207,9.149439639006204,9.213976777088696,6921200
2009-04-09,9.283479690551758,9.305819651904917,8.873914048040296,9.025329236446224,9401600
2009-04-13,9.494468688964844,9.665741116591436,9.395179748755812,9.581345801480612,10804000
2009-04-14,9.412554740905762,9.675669757607105,9.35049939283474,9.397662063377975,8170800
2009-04-15,9.273550033569336,9.348016251167383,9.117170313790906,9.340569913474377,3706800
2009-04-16,9.38773250579834,9.45227059478732,9.067526698687692,9.390215249853757,5596800
2009-04-17,9.514325141906738,9.628506739756451,9.367874502268421,9.372838096184202,5581600
2009-04-20,9.174263000488281,9.308302787887346,8.963275182718645,9.308302787887346,8122000
2009-04-21,9.628507614135742,9.64091849383092,9.12213576870131,9.127100309957266,8006800
2009-04-22,9.928855895996094,10.11502194404602,9.47709302847943,9.59872098294727,9872800
2009-04-23,9.75013542175293,9.84694160764002,9.444823240536182,9.83204893097395,10166000
2009-04-24,9.971053123474121,10.048002097891159,9.720349927614562,9.834531543673787,8279200
2009-04-27,10.090200424194336,10.214311125860247,9.69552835502116,9.802263634205003,7833600
