Price,Close,High,Low,Open,Volume
Ticker,CAT,CAT,CAT,CAT,CAT
Date,,,,,
2009-01-02,30.344676971435547,30.389957682039878,28.92156222606229,29.05093674248052,7117200
2009-01-05,29.80778694152832,30.480530230797424,29.63313165074422,30.33822043163652,11098700
2009-01-06,29.626672744750977,30.273543339473118,29.37439360762782,30.26707571927671,10863400
2009-01-07,28.24882698059082,29.497286952640206,27.944799594278095,29.251477996491968,9026500
2009-01-08,28.47522735595703,28.533445774411387,27.504922026793807,27.770138718060526,9384200
2009-01-09,27.944791793823242,28.501100533971513,27.330264639761452,28.4040690215777,8872300
2009-01-12,26.644594192504883,27.880116711047584,26.282348302847367,27.815430650070187,9583700
2009-01-13,26.780431747436523,27.097396816601243,26.23059050487919,26.59283876582469,9281600
2009-01-14,25.454345703125,26.094748395565784,24.742789349403598,25.874812391533176,17261700
2009-01-15,25.75511360168457,26.14088463977465,24.38203159857678,25.604728619952663,15448300
2009-01-16,25.859737396240234,26.539741216371418,24.885503408343382,26.539741216371418,12890100
2009-01-20,25.05549430847168,25.912037424702874,24.846262821096072,25.59819019363946,11889900
2009-01-21,25.859737396240234,25.964353176703728,24.66319456307884,25.676660403988357,10287000
2009-01-22,24.342798233032227,25.500111274812824,23.754335623232002,25.428187484959945,19268200
2009-01-23,23.316253662109375,24.342796323090692,22.891250843180575,23.532025014738533,22677400
2009-01-26,21.361249923706055,22.3877953546104,20.727017962385236,21.969329815392936,47390400
2009-01-27,21.132404327392578,21.851637394661587,20.98855671624415,21.733946842365178,20354500
2009-01-28,21.577016830444336,21.910478720360103,21.32855351401072,21.747016471644613,13466700
2009-01-29,20.825096130371094,21.354713604209913,20.681248516083244,21.322021644845385,14575000
2009-01-30,20.171253204345703,20.74664009808775,19.65471160623478,20.648562942544284,20956900
2009-02-02,19.805091857910156,20.138553835462204,19.353935583695158,19.68086016704434,16966700
2009-02-03,19.608932495117188,20.288936093085717,19.491239468767397,19.491239468767397,18880200
2009-02-04,20.007793426513672,20.64202694427563,19.746253895844767,19.90317761424611,17419200
2009-02-05,20.668170928955078,20.98201820491849,19.74624377636367,19.84432089421246,17793300
